code,digit_2,digit_3,digit_4,type_of_facility,type_of_care,center_digits,freq_of_bill
086M,8,6,M,Special facility or hospital,Residential Facility,86,MSP Initiated Adjustment Claim
096M,9,6,M,Reserved for National Assignment,Intermediate Care - Level II,96,MSP Initiated Adjustment Claim
017M,1,7,M,Hospital,Subacute Inpatient,17,MSP Initiated Adjustment Claim
027M,2,7,M,Skilled Nursing Facility (SNF),Subacute Inpatient,27,MSP Initiated Adjustment Claim
037M,3,7,M,Home Health,Subacute Inpatient,37,MSP Initiated Adjustment Claim
047M,4,7,M,Religious Nonmedical (Hospital),Subacute Inpatient,47,MSP Initiated Adjustment Claim
057M,5,7,M,Religious Nonmedical (Extended Care),Subacute Inpatient,57,MSP Initiated Adjustment Claim
067M,6,7,M,Intermediate Care,Subacute Inpatient,67,MSP Initiated Adjustment Claim
077M,7,7,M,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,MSP Initiated Adjustment Claim
087M,8,7,M,Special facility or hospital,Reserved for National Assignment,87,MSP Initiated Adjustment Claim
097M,9,7,M,Reserved for National Assignment,Subacute Inpatient,97,MSP Initiated Adjustment Claim
018M,1,8,M,Hospital,Reserved for National Assignment,18,MSP Initiated Adjustment Claim
028M,2,8,M,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,MSP Initiated Adjustment Claim
038M,3,8,M,Home Health,Reserved for National Assignment,38,MSP Initiated Adjustment Claim
048M,4,8,M,Religious Nonmedical (Hospital),Reserved for National Assignment,48,MSP Initiated Adjustment Claim
058M,5,8,M,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,MSP Initiated Adjustment Claim
068M,6,8,M,Intermediate Care,Reserved for National Assignment,68,MSP Initiated Adjustment Claim
078M,7,8,M,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,MSP Initiated Adjustment Claim
088M,8,8,M,Special facility or hospital,Reserved for National Assignment,88,MSP Initiated Adjustment Claim
098M,9,8,M,Reserved for National Assignment,Reserved for National Assignment,98,MSP Initiated Adjustment Claim
019M,1,9,M,Hospital,Reserved for National Assignment,19,MSP Initiated Adjustment Claim
029M,2,9,M,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,MSP Initiated Adjustment Claim
039M,3,9,M,Home Health,Reserved for National Assignment,39,MSP Initiated Adjustment Claim
049M,4,9,M,Religious Nonmedical (Hospital),Reserved for National Assignment,49,MSP Initiated Adjustment Claim
059M,5,9,M,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,MSP Initiated Adjustment Claim
069M,6,9,M,Intermediate Care,Reserved for National Assignment,69,MSP Initiated Adjustment Claim
079M,7,9,M,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,MSP Initiated Adjustment Claim
089M,8,9,M,Special facility or hospital,Other,89,MSP Initiated Adjustment Claim
099M,9,9,M,Reserved for National Assignment,Reserved for National Assignment,99,MSP Initiated Adjustment Claim
011P,1,1,P,Hospital,Inpatient (Part A),11,QIO Adjustment Claim
021P,2,1,P,Skilled Nursing Facility (SNF),Inpatient (Part A),21,QIO Adjustment Claim
031P,3,1,P,Home Health,Inpatient (Part A),31,QIO Adjustment Claim
041P,4,1,P,Religious Nonmedical (Hospital),Inpatient (Part A),41,QIO Adjustment Claim
051P,5,1,P,Religious Nonmedical (Extended Care),Inpatient (Part A),51,QIO Adjustment Claim
061P,6,1,P,Intermediate Care,Inpatient (Part A),61,QIO Adjustment Claim
071P,7,1,P,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,QIO Adjustment Claim
081P,8,1,P,Special facility or hospital,Hospice (non-hospital based),81,QIO Adjustment Claim
091P,9,1,P,Reserved for National Assignment,Inpatient (Part A),91,QIO Adjustment Claim
012P,1,2,P,Hospital,Inpatient (Part B),12,QIO Adjustment Claim
022P,2,2,P,Skilled Nursing Facility (SNF),Inpatient (Part B),22,QIO Adjustment Claim
032P,3,2,P,Home Health,Inpatient (Part B),32,QIO Adjustment Claim
042P,4,2,P,Religious Nonmedical (Hospital),Inpatient (Part B),42,QIO Adjustment Claim
052P,5,2,P,Religious Nonmedical (Extended Care),Inpatient (Part B),52,QIO Adjustment Claim
062P,6,2,P,Intermediate Care,Inpatient (Part B),62,QIO Adjustment Claim
072P,7,2,P,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,QIO Adjustment Claim
082P,8,2,P,Special facility or hospital,Hospice (hospital based),82,QIO Adjustment Claim
092P,9,2,P,Reserved for National Assignment,Inpatient (Part B),92,QIO Adjustment Claim
013P,1,3,P,Hospital,Outpatient,13,QIO Adjustment Claim
023P,2,3,P,Skilled Nursing Facility (SNF),Outpatient,23,QIO Adjustment Claim
033P,3,3,P,Home Health,Outpatient,33,QIO Adjustment Claim
043P,4,3,P,Religious Nonmedical (Hospital),Outpatient,43,QIO Adjustment Claim
053P,5,3,P,Religious Nonmedical (Extended Care),Outpatient,53,QIO Adjustment Claim
063P,6,3,P,Intermediate Care,Outpatient,63,QIO Adjustment Claim
073P,7,3,P,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,QIO Adjustment Claim
083P,8,3,P,Special facility or hospital,ASC Services to Hospital Outpatients,83,QIO Adjustment Claim
093P,9,3,P,Reserved for National Assignment,Outpatient,93,QIO Adjustment Claim
014P,1,4,P,Hospital,Other (Part B),14,QIO Adjustment Claim
024P,2,4,P,Skilled Nursing Facility (SNF),Other (Part B),24,QIO Adjustment Claim
034P,3,4,P,Home Health,Other (Part B),34,QIO Adjustment Claim
044P,4,4,P,Religious Nonmedical (Hospital),Other (Part B),44,QIO Adjustment Claim
054P,5,4,P,Religious Nonmedical (Extended Care),Other (Part B),54,QIO Adjustment Claim
064P,6,4,P,Intermediate Care,Other (Part B),64,QIO Adjustment Claim
074P,7,4,P,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,QIO Adjustment Claim
084P,8,4,P,Special facility or hospital,Free Standing Birthing Center,84,QIO Adjustment Claim
094P,9,4,P,Reserved for National Assignment,Other (Part B),94,QIO Adjustment Claim
015P,1,5,P,Hospital,Intermediate Care - Level I,15,QIO Adjustment Claim
025P,2,5,P,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,QIO Adjustment Claim
035P,3,5,P,Home Health,Intermediate Care - Level I,35,QIO Adjustment Claim
045P,4,5,P,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,QIO Adjustment Claim
055P,5,5,P,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,QIO Adjustment Claim
065P,6,5,P,Intermediate Care,Intermediate Care - Level I,65,QIO Adjustment Claim
075P,7,5,P,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,QIO Adjustment Claim
085P,8,5,P,Special facility or hospital,Critical Access Hospital (CAH),85,QIO Adjustment Claim
095P,9,5,P,Reserved for National Assignment,Intermediate Care - Level I,95,QIO Adjustment Claim
016P,1,6,P,Hospital,Intermediate Care - Level II,16,QIO Adjustment Claim
026P,2,6,P,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,QIO Adjustment Claim
036P,3,6,P,Home Health,Intermediate Care - Level II,36,QIO Adjustment Claim
046P,4,6,P,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,QIO Adjustment Claim
056P,5,6,P,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,QIO Adjustment Claim
066P,6,6,P,Intermediate Care,Intermediate Care - Level II,66,QIO Adjustment Claim
076P,7,6,P,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,QIO Adjustment Claim
086P,8,6,P,Special facility or hospital,Residential Facility,86,QIO Adjustment Claim
096P,9,6,P,Reserved for National Assignment,Intermediate Care - Level II,96,QIO Adjustment Claim
017P,1,7,P,Hospital,Subacute Inpatient,17,QIO Adjustment Claim
027P,2,7,P,Skilled Nursing Facility (SNF),Subacute Inpatient,27,QIO Adjustment Claim
037P,3,7,P,Home Health,Subacute Inpatient,37,QIO Adjustment Claim
047P,4,7,P,Religious Nonmedical (Hospital),Subacute Inpatient,47,QIO Adjustment Claim
057P,5,7,P,Religious Nonmedical (Extended Care),Subacute Inpatient,57,QIO Adjustment Claim
067P,6,7,P,Intermediate Care,Subacute Inpatient,67,QIO Adjustment Claim
077P,7,7,P,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,QIO Adjustment Claim
087P,8,7,P,Special facility or hospital,Reserved for National Assignment,87,QIO Adjustment Claim
097P,9,7,P,Reserved for National Assignment,Subacute Inpatient,97,QIO Adjustment Claim
018P,1,8,P,Hospital,Reserved for National Assignment,18,QIO Adjustment Claim
028P,2,8,P,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,QIO Adjustment Claim
038P,3,8,P,Home Health,Reserved for National Assignment,38,QIO Adjustment Claim
048P,4,8,P,Religious Nonmedical (Hospital),Reserved for National Assignment,48,QIO Adjustment Claim
058P,5,8,P,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,QIO Adjustment Claim
068P,6,8,P,Intermediate Care,Reserved for National Assignment,68,QIO Adjustment Claim
078P,7,8,P,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,QIO Adjustment Claim
088P,8,8,P,Special facility or hospital,Reserved for National Assignment,88,QIO Adjustment Claim
098P,9,8,P,Reserved for National Assignment,Reserved for National Assignment,98,QIO Adjustment Claim
019P,1,9,P,Hospital,Reserved for National Assignment,19,QIO Adjustment Claim
029P,2,9,P,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,QIO Adjustment Claim
039P,3,9,P,Home Health,Reserved for National Assignment,39,QIO Adjustment Claim
049P,4,9,P,Religious Nonmedical (Hospital),Reserved for National Assignment,49,QIO Adjustment Claim
059P,5,9,P,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,QIO Adjustment Claim
069P,6,9,P,Intermediate Care,Reserved for National Assignment,69,QIO Adjustment Claim
079P,7,9,P,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,QIO Adjustment Claim
089P,8,9,P,Special facility or hospital,Other,89,QIO Adjustment Claim
099P,9,9,P,Reserved for National Assignment,Reserved for National Assignment,99,QIO Adjustment Claim
011Q,1,1,Q,Hospital,Inpatient (Part A),11,Reopening/Adjustment
021Q,2,1,Q,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Reopening/Adjustment
031Q,3,1,Q,Home Health,Inpatient (Part A),31,Reopening/Adjustment
041Q,4,1,Q,Religious Nonmedical (Hospital),Inpatient (Part A),41,Reopening/Adjustment
051Q,5,1,Q,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Reopening/Adjustment
061Q,6,1,Q,Intermediate Care,Inpatient (Part A),61,Reopening/Adjustment
071Q,7,1,Q,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Reopening/Adjustment
081Q,8,1,Q,Special facility or hospital,Hospice (non-hospital based),81,Reopening/Adjustment
091Q,9,1,Q,Reserved for National Assignment,Inpatient (Part A),91,Reopening/Adjustment
012Q,1,2,Q,Hospital,Inpatient (Part B),12,Reopening/Adjustment
022Q,2,2,Q,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Reopening/Adjustment
032Q,3,2,Q,Home Health,Inpatient (Part B),32,Reopening/Adjustment
042Q,4,2,Q,Religious Nonmedical (Hospital),Inpatient (Part B),42,Reopening/Adjustment
052Q,5,2,Q,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Reopening/Adjustment
062Q,6,2,Q,Intermediate Care,Inpatient (Part B),62,Reopening/Adjustment
072Q,7,2,Q,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Reopening/Adjustment
082Q,8,2,Q,Special facility or hospital,Hospice (hospital based),82,Reopening/Adjustment
092Q,9,2,Q,Reserved for National Assignment,Inpatient (Part B),92,Reopening/Adjustment
013Q,1,3,Q,Hospital,Outpatient,13,Reopening/Adjustment
023Q,2,3,Q,Skilled Nursing Facility (SNF),Outpatient,23,Reopening/Adjustment
033Q,3,3,Q,Home Health,Outpatient,33,Reopening/Adjustment
043Q,4,3,Q,Religious Nonmedical (Hospital),Outpatient,43,Reopening/Adjustment
053Q,5,3,Q,Religious Nonmedical (Extended Care),Outpatient,53,Reopening/Adjustment
063Q,6,3,Q,Intermediate Care,Outpatient,63,Reopening/Adjustment
073Q,7,3,Q,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Reopening/Adjustment
083Q,8,3,Q,Special facility or hospital,ASC Services to Hospital Outpatients,83,Reopening/Adjustment
093Q,9,3,Q,Reserved for National Assignment,Outpatient,93,Reopening/Adjustment
014Q,1,4,Q,Hospital,Other (Part B),14,Reopening/Adjustment
024Q,2,4,Q,Skilled Nursing Facility (SNF),Other (Part B),24,Reopening/Adjustment
034Q,3,4,Q,Home Health,Other (Part B),34,Reopening/Adjustment
044Q,4,4,Q,Religious Nonmedical (Hospital),Other (Part B),44,Reopening/Adjustment
054Q,5,4,Q,Religious Nonmedical (Extended Care),Other (Part B),54,Reopening/Adjustment
064Q,6,4,Q,Intermediate Care,Other (Part B),64,Reopening/Adjustment
074Q,7,4,Q,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Reopening/Adjustment
084Q,8,4,Q,Special facility or hospital,Free Standing Birthing Center,84,Reopening/Adjustment
094Q,9,4,Q,Reserved for National Assignment,Other (Part B),94,Reopening/Adjustment
015Q,1,5,Q,Hospital,Intermediate Care - Level I,15,Reopening/Adjustment
025Q,2,5,Q,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Reopening/Adjustment
035Q,3,5,Q,Home Health,Intermediate Care - Level I,35,Reopening/Adjustment
045Q,4,5,Q,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Reopening/Adjustment
055Q,5,5,Q,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Reopening/Adjustment
065Q,6,5,Q,Intermediate Care,Intermediate Care - Level I,65,Reopening/Adjustment
075Q,7,5,Q,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Reopening/Adjustment
085Q,8,5,Q,Special facility or hospital,Critical Access Hospital (CAH),85,Reopening/Adjustment
095Q,9,5,Q,Reserved for National Assignment,Intermediate Care - Level I,95,Reopening/Adjustment
016Q,1,6,Q,Hospital,Intermediate Care - Level II,16,Reopening/Adjustment
026Q,2,6,Q,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Reopening/Adjustment
036Q,3,6,Q,Home Health,Intermediate Care - Level II,36,Reopening/Adjustment
046Q,4,6,Q,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Reopening/Adjustment
056Q,5,6,Q,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Reopening/Adjustment
066Q,6,6,Q,Intermediate Care,Intermediate Care - Level II,66,Reopening/Adjustment
076Q,7,6,Q,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Reopening/Adjustment
086Q,8,6,Q,Special facility or hospital,Residential Facility,86,Reopening/Adjustment
096Q,9,6,Q,Reserved for National Assignment,Intermediate Care - Level II,96,Reopening/Adjustment
017Q,1,7,Q,Hospital,Subacute Inpatient,17,Reopening/Adjustment
027Q,2,7,Q,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Reopening/Adjustment
037Q,3,7,Q,Home Health,Subacute Inpatient,37,Reopening/Adjustment
047Q,4,7,Q,Religious Nonmedical (Hospital),Subacute Inpatient,47,Reopening/Adjustment
057Q,5,7,Q,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Reopening/Adjustment
067Q,6,7,Q,Intermediate Care,Subacute Inpatient,67,Reopening/Adjustment
077Q,7,7,Q,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Reopening/Adjustment
087Q,8,7,Q,Special facility or hospital,Reserved for National Assignment,87,Reopening/Adjustment
097Q,9,7,Q,Reserved for National Assignment,Subacute Inpatient,97,Reopening/Adjustment
018Q,1,8,Q,Hospital,Reserved for National Assignment,18,Reopening/Adjustment
028Q,2,8,Q,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Reopening/Adjustment
038Q,3,8,Q,Home Health,Reserved for National Assignment,38,Reopening/Adjustment
048Q,4,8,Q,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Reopening/Adjustment
058Q,5,8,Q,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Reopening/Adjustment
068Q,6,8,Q,Intermediate Care,Reserved for National Assignment,68,Reopening/Adjustment
078Q,7,8,Q,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Reopening/Adjustment
088Q,8,8,Q,Special facility or hospital,Reserved for National Assignment,88,Reopening/Adjustment
098Q,9,8,Q,Reserved for National Assignment,Reserved for National Assignment,98,Reopening/Adjustment
019Q,1,9,Q,Hospital,Reserved for National Assignment,19,Reopening/Adjustment
029Q,2,9,Q,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Reopening/Adjustment
039Q,3,9,Q,Home Health,Reserved for National Assignment,39,Reopening/Adjustment
049Q,4,9,Q,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Reopening/Adjustment
059Q,5,9,Q,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Reopening/Adjustment
